1,疫情,25343
2,防控,18392
3,组织,12669
4,工作,12258
5,社会,11712
6,企业,8904
7,协会,7821
8,捐赠,6903
9,服务,6740
10,物资,5226
11,万元,4802
12,肺炎,4466
13,防疫,4325
14,做好,4161
15,会员,4019
16,社区,4015
17,复工,3792
18,口罩,3734
19,新型,3488
20,慈善,3473
21,冠状病毒,3262
22,商会,3247
23,提供,3228
24,参与,3182
25,行业,3182
26,抗击,3052
27,一线,3034
28,志愿者,3031
29,宣传,2847
30,医院,2592
31,人员,2574
32,心理,2537
33,捐款,2484
34,会员单位,2459
35,行业协会,2449
36,单位,2336
37,爱心,2257
38,相关,2247
39,复产,2246
40,防护,2246
41,公益,2232
42,感染,2230
43,活动,2101
44,发挥,2075
45,保障,2048
46,倡议,2013
47,支持,1995
48,引导,1949
49,武汉,1937
50,责任,1907
51,有序,1855
52,发出,1854
53,动员,1847
54,中国,1835
55,情况,1812
56,管理,1799
57,抗疫,1797
58,机构,1789
59,基金会,1740
60,信息,1730
61,志愿,1729
62,部署,1695
63,发布,1692
64,生产,1645
65,全市,1613
66,党员,1603
67,力量,1537
68,发展,1517
69,医用,1503
70,专业,1499
71,打赢,1479
72,有限公司,1477
73,期间,1475
74,联合,1455
75,阻击战,1439
76,服务中心,1436
77,消毒,1425
78,新冠,1418
79,社工,1406
80,优势,1375
81,中心,1375
82,主动,1362
83,号召,1355
84,协助,1352
85,助力,1351
86,民政局,1348
87,价值,1338
88,总会,1333
89,累计,1328
90,湖北,1320
91,落实,1301
92,措施,1300
93,指导,1287
94,用于,1276
95,通知,1266
96,医疗,1254
97,作用,1251
98,部门,1247
99,时间,1243
100,群众,1240
101,健康,1239
102,工作人员,1227
103,登记,1221
104,配合,1219
105,平台,1214
106,募捐,1206
107,应急,1158
108,消毒液,1136
109,知识,1129
110,政府,1128
111,线上,1104
112,员工,1095
113,10,1093
114,倡议书,1088
115,科学,1086
116,社会工作,1082
117,方式,1079
118,人民,1079
119,党委,1051
120,担当,1045
121,第一,1031
122,全省,1030
123,党组织,1026
124,免费,1012
125,充分发挥,991
126,党支部,986
127,集团,969
128,援助,967
129,微信,954
130,需求,945
131,政策,945
132,资金,943
133,支援,943
134,采购,939
135,捐款捐物,937
136,确保,934
137,红十字会,930
138,北京,926
139,依法,924
140,排查,910
141,联合会,897
142,积极响应,856
143,山东省,848
144,各类,846
145,街道,844
146,应对,834
147,广州市,834
148,全国,833
149,心理咨询,822
150,精神,792
151,协调,790
152,100,789
153,党中央,787
154,发放,785
155,公司,775
156,成立,775
157,防护服,772
158,公众,771
159,居民,771
160,培训,764
161,隔离,764
162,医护人员,753
163,20,748
164,网络,745
165,湖北省,741
166,贡献,737
167,2020,735
168,30,734
169,发生,730
170,厦门市,729
171,习近平,728
172,决策,728
173,接收,717
174,影响,713
175,工作者,711
176,各项,707
177,地区,702
178,资源,699
179,总书记,694
180,项目,691
181,困难,687
182,热线,687
183,积极参与,676
184,解决,676
185,款物,670
186,公开,667
187,1000,656
188,紧急,651
189,安排,650
190,发起,642
191,善款,641
192,民政厅,640
193,重点,639
194,电话,636
195,开通,628
196,发动,627
197,生活,625
198,武汉市,622
199,消杀,621
200,推动,619
201,疏导,607
202,对接,607
203,经营,605
204,产品,603
205,酒精,601
206,贯彻落实,599
207,政治,598
208,领导,598
209,24,591
210,疫区,591
211,咨询,588
212,物流,587
213,维护,578
214,购买,576
215,稳定,574
216,重庆市,573
217,强化,570
218,小区,568
219,国家,565
220,救援,561
221,副会长,561
222,统一,554
223,学会,553
224,履行,553
225,响应,551
226,投入,545
227,家庭,542
228,企业家,542
229,供应,537
230,市场,533
231,先锋,532
232,200,530
233,众志成城,525
234,市民,519
235,在线,517
236,西安市,515
237,科技,514
238,建议,513
239,会议,512
240,小时,511
241,二是,511
242,人次,511
243,手套,511
244,募集,509
245,共计,509
246,一是,507
247,养老,505
248,学习,505
249,促进会,503
250,一次性,503
251,教育,502
252,专家,500
253,设备,500
254,救援队,499
255,深圳市,499
256,机关,497
257,制定,496
258,建立,493
259,渠道,492
260,提高,491
261,管理局,486
262,检测,485
263,建设,482
264,防治,482
265,提出,480
266,规范,479
267,持续,476
268,运输,470
269,12,467
270,三是,467
271,厦门,465
272,广东省,462
273,北京市,461
274,护目镜,461
275,体温,459
276,筹集,458
277,切实,458
278,鼓励,456
279,急需,455
280,参加,454
281,车辆,453
282,统计,452
283,国务院,450
284,贡献力量,448
285,预防,447
286,聚集,443
287,方案,440
288,系统,435
289,技术,432
290,这场,432
291,奋战,431
292,实际行动,427
293,印发,426
294,驰援,422
295,卫生,420
296,病毒,419
297,50,419
298,慈善会,417
299,时艰,417
300,捐助,416
301,团队,415
302,利用,413
303,形式,412
304,引领,412
305,使命,410
306,食品,409
307,倡导,409
308,宁波市,409
309,基层,408
310,收集,406
311,领域,405
312,广州,405
313,奉献,402
314,媒体,402
315,500,401
316,患者,398
317,关注,398
318,模范作用,397
319,药品,397
320,经济,396
321,小组,395
322,民政部,394
323,会长,393
324,慰问,393
325,启动,392
326,文化,391
327,办理,389
328,居家,388
329,15,386
330,青年,386
331,人士,385
332,2000,383
333,报告,382
334,指引,382
335,区域,382
336,组建,382
337,法律,380
338,增强,379
339,包括,377
340,面对,375
341,带头,375
342,传播,375
343,指示精神,375
344,动态,373
345,蓝天,372
346,干预,372
347,儿童,371
348,办公,371
349,风险,369
350,民政部门,369
351,意识,369
352,推进,366
353,业务,366
354,能量,365
355,共克,365
356,省委,364
357,研究,361
358,精准,361
359,老人,359
360,人民币,359
361,300,358
362,救助,356
363,多家,356
364,指挥部,355
365,餐饮,353
366,危机,353
367,领导小组,353
368,亿元,352
369,情绪,352
370,纷纷,352
371,27,351
372,科普,350
373,合作,349
374,重庆,348
375,转发,348
376,市委,347
377,物业,346
378,联防,345
379,定向,344
380,截止,344
381,农业,342
382,自我,342
383,基金,341
384,举办,341
385,保证,341
386,视频,340
387,接受,340
388,关爱,339
389,国际,338
390,11,338
391,医药,338
392,呼吁,337
393,现金,337
394,旅游,336
395,中央,335
396,服务队,334
397,能力,331
398,委员会,330
399,所属,330
400,84,330
401,万个,326
402,减少,324
403,监测,324
404,26,321
405,党建,320
406,义工,319
407,25,317
408,14,316
409,统筹,316
410,互联网,314
411,用品,314
412,专项,313
413,春节,312
414,陕西省,312
415,联控,309
416,28,308
417,省政府,308
418,全区,308
419,防范,307
420,践行,307
421,医疗机构,305
422,律师,304
423,成员,303
424,队员,303
425,紧缺,302
426,网上,301
427,第一线,300
428,创新,298
429,凝聚,296
430,31,295
431,坚守,293
432,收到,292
433,加大,291
434,综合,291
435,推出,290
436,29,290
437,医务人员,290
438,检查,290
439,减免,290
440,16,289
441,帮扶,289
442,下发,287
443,配送,287
444,沟通,286
445,缓解,285
446,斗争,285
447,医务,285
448,公告,284
449,包头市,284
450,场所,282
451,计划,280
452,人群,280
453,机制,280
454,传谣,280
455,蔬菜,279
456,身体健康,279
457,我市,279
458,堡垒作用,279
459,系列,278
460,实施,277
461,携手,277
462,带领,277
463,产业,277
464,市政府,277
465,学校,276
466,从业人员,276
467,投身,275
468,命令,275
469,青少年,275
470,辖区,274
471,安徽,272
472,13,272
473,3000,272
474,超过,270
475,一批,270
476,作出,270
477,负责,270
478,物业管理,270
479,迅速行动,270
480,协会会员,269
481,福建省,268
482,家属,267
483,5000,266
484,努力,266
485,自觉,266
486,中小企业,265
487,做出,264
488,高度重视,264
489,提升,263
490,社会各界,263
491,积极开展,263
492,生命安全,263
493,不信谣,262
494,恢复,261
495,银行,261
496,安徽省,261
497,数据,260
498,负责人,258
499,到位,258
500,调研,257
501,余万元,256
502,信心,256
503,承担,256
504,万余元,255
505,守护,254
506,快速,252
507,每日,252
508,N95,250
509,山东,249
510,心理健康,249
511,17,248
512,积极行动,247
513,防护用品,247
514,微信群,246
515,材料,244
516,希望,243
517,股份,242
518,多个,241
519,四是,241
520,40,240
521,工程,240
522,上海,237
523,联动,236
524,流通,236
525,设立,235
526,暂停,235
527,创作,235
528,弘扬,235
529,传达,235
530,金融,234
531,职工,232
532,站位,231
533,普及,230
534,对象,229
535,西安,229
536,队伍,228
537,地方,228
538,汇总,228
539,贯彻,228
540,内部,227
541,环境,227
